# BUSCO version is: 3.0.0 
# The lineage dataset is: tetrapoda_odb9 (Creation date: 2016-02-13, number of species: 55, number of BUSCOs: 3950)
# To reproduce this run: python /mnt/lustre/software/linuxbrew/colsa/bin/busco -i /mnt/lustre/macmaneslab/shared/Stuckert/Stuckert_Ranitomeya_imitator_genome/imitator.1.3.6.fa -o Ranitomeya_imitator_genome_BUSCO -l /mnt/lustre/macmaneslab/ams1236/Oyster_River_Protocol/busco_dbs/tetrapoda_odb9/ -m genome -c 40 -sp human
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG0907008V	Complete	scaffold24_pilon_pilon	5571068	5589909	2995.3	1552
EOG09070092	Complete	scaffold4_pilon_pilon	14916618	14939035	3680.3	1972
EOG09070096	Fragmented	scaffold111_pilon_pilon	193607	207233	1492.1	818
EOG0907009A	Complete	scaffold18_pilon_pilon	13550143	13653035	2141.5	1183
EOG0907009B	Complete	scaffold164_pilon_pilon	2630176	2837396	2454.3	1363
EOG0907009D	Duplicated	scaffold23_pilon_pilon	7363567	7475537	2471.3	1230
EOG0907009D	Duplicated	scaffold6060_pilon_pilon	28263	56378	2788.3	1529
EOG0907009I	Complete	scaffold3396_pilon_pilon	49894	79562	2363.6	1149
EOG0907009L	Complete	scaffold42_pilon_pilon	11081512	11169975	3495.1	1888
EOG0907009M	Complete	scaffold89_pilon_pilon	6740999	6766060	1884.1	1281
EOG0907009S	Duplicated	scaffold3039_pilon_pilon	166031	202449	2477.8	1594
EOG0907009S	Duplicated	scaffold50_pilon_pilon	8041255	8060428	2246.6	1209
EOG0907009W	Complete	scaffold375_pilon_pilon	135633	157183	3409.9	1742
EOG090700A6	Complete	scaffold117_pilon_pilon	785742	881400	3083.1	1659
EOG090700A9	Complete	scaffold7_pilon_pilon	20791292	20833065	2400.3	1558
EOG090700AD	Complete	scaffold32_pilon_pilon	13918965	13982905	2990.5	1596
EOG090700AG	Duplicated	scaffold1428_pilon_pilon	207130	297796	2269.3	1474
EOG090700AG	Duplicated	scaffold578_pilon_pilon	419205	517170	2290.2	1698
EOG090700AN	Duplicated	scaffold204_pilon_pilon	1186036	1199983	3102.7	1440
EOG090700AN	Duplicated	scaffold3048_pilon_pilon	48196	103418	2736.4	1429
EOG090700AP	Complete	scaffold247_pilon_pilon	1048289	1184708	2982.8	1537
EOG090700AQ	Complete	scaffold1350_pilon_pilon	461542	492837	661.0	1660
EOG090700AS	Complete	scaffold11_pilon_pilon	2406214	2493991	2771.5	1370
EOG090700AT	Duplicated	scaffold2_pilon_pilon	21469281	21514955	332.0	152
EOG090700AT	Duplicated	scaffold799_pilon_pilon	223680	260388	320.8	153
EOG090700AY	Complete	scaffold3604_pilon_pilon	90392	119595	1240.8	999
EOG090700B6	Complete	scaffold127_pilon_pilon	4489453	4612516	2837.3	1552
EOG090700B7	Fragmented	scaffold964_pilon_pilon	440863	453251	1103.8	843
EOG090700B8	Complete	scaffold128_pilon_pilon	1078804	1207971	2923.3	1483
EOG090700B9	Complete	scaffold25_pilon_pilon	9783678	9921196	2999.8	1651
EOG090700BB	Complete	scaffold17_pilon_pilon	16092794	16221726	2601.5	1653
EOG090700BE	Complete	scaffold162_pilon_pilon	1259230	1332297	2595.8	1597
EOG090700BG	Complete	scaffold174_pilon_pilon	1876326	1960640	2917.4	1606
EOG090700BI	Duplicated	scaffold38_pilon_pilon	1180901	1210925	485.7	722
EOG090700BI	Duplicated	scaffold494_pilon_pilon	334988	369656	447.3	749
EOG090700BK	Complete	scaffold65_pilon_pilon	9394904	9503581	2855.8	1468
EOG090700BM	Complete	scaffold7_pilon_pilon	12510864	12553897	3279.6	1599
EOG090700BV	Complete	scaffold7_pilon_pilon	13419038	13454105	1745.8	1377
EOG090700BW	Complete	scaffold28_pilon_pilon	17039194	17128225	3546.7	1668
EOG090700BZ	Complete	scaffold211_pilon_pilon	1779954	1885560	2461.9	1287
EOG090700C0	Complete	scaffold1_pilon_pilon	56068473	56133721	2807.7	1533
EOG090700C1	Complete	scaffold24_pilon_pilon	12861352	12938555	2859.6	1485
EOG090700CG	Complete	scaffold187_pilon_pilon	1349741	1368261	1850.1	1422
EOG090700CM	Fragmented	scaffold8889_pilon_pilon	8161	22317	477.5	342
EOG090700CQ	Fragmented	scaffold6957_pilon_pilon	51939	83600	486.2	363
EOG090700CT	Complete	scaffold520_pilon_pilon	693197	799807	2349.3	1159
EOG090700CV	Complete	scaffold64_pilon_pilon	8144215	8203984	3039.3	1440
EOG090700CY	Complete	scaffold220_pilon_pilon	1126015	1203099	3099.4	1564
EOG090700D1	Complete	scaffold136_pilon_pilon	5545	41902	1824.8	1333
EOG090700D3	Complete	scaffold68_pilon_pilon	8840967	8893074	2988.3	1644
EOG090700D6	Complete	scaffold96_pilon_pilon	6921706	6944828	281.5	608
EOG090700D9	Complete	scaffold58_pilon_pilon	9361679	9373899	3241.9	1679
EOG090700DA	Complete	scaffold33_pilon_pilon	11183245	11251086	3020.5	1433
EOG090700DG	Complete	scaffold162_pilon_pilon	1992332	2040710	2352.2	1513
EOG090700DH	Complete	scaffold8_pilon_pilon	18361222	18416215	2227.3	1381
EOG090700DO	Complete	scaffold140_pilon_pilon	2031582	2081884	3053.0	1416
EOG090700DS	Complete	scaffold89_pilon_pilon	3961987	3990379	1569.0	1013
EOG090700DU	Complete	scaffold57_pilon_pilon	872811	935910	2849.1	1454
EOG090700DZ	Complete	scaffold71_pilon_pilon	7966398	8061931	2536.1	1464
EOG090700E8	Complete	scaffold14_pilon_pilon	205736	267815	3252.1	1628
EOG090700ED	Complete	scaffold3794_pilon_pilon	7164	173966	2768.0	1353
EOG090700EI	Complete	scaffold2_pilon_pilon	24084839	24148990	1811.3	1078
EOG090700EP	Complete	scaffold40_pilon_pilon	2353138	2438365	3265.1	1750
EOG090700EQ	Duplicated	scaffold1381_pilon_pilon	60777	134524	1555.8	1091
EOG090700EQ	Duplicated	scaffold162_pilon_pilon	2491473	2519874	1698.4	1018
EOG090700ER	Complete	scaffold26_pilon_pilon	13240505	13261137	860.7	855
EOG090700ES	Complete	scaffold178_pilon_pilon	3817082	3888947	2972.3	1530
EOG090700EU	Complete	scaffold1996_pilon_pilon	181126	289125	2778.4	1500
EOG090700EV	Complete	scaffold5_pilon_pilon	29204858	29251132	1876.1	1224
EOG090700F2	Complete	scaffold50_pilon_pilon	8443539	8525504	2597.2	1246
EOG090700F3	Complete	scaffold30_pilon_pilon	13133063	13208001	3247.9	1639
EOG090700FD	Complete	scaffold17_pilon_pilon	9804103	9874160	2130.6	1120
EOG090700FM	Complete	scaffold13_pilon_pilon	1934621	2061563	2673.3	1341
EOG090700FS	Complete	scaffold168_pilon_pilon	3034225	3166276	2319.0	1323
EOG090700FT	Duplicated	scaffold2750_pilon_pilon	110166	214034	2589.5	1318
EOG090700FT	Duplicated	scaffold33_pilon_pilon	3246604	3361521	2854.6	1323
EOG090700FW	Complete	scaffold86_pilon_pilon	4366780	4512485	1914.4	1124
EOG090700FX	Complete	scaffold139_pilon_pilon	1544348	1647438	1832.1	958
EOG090700G0	Complete	scaffold45_pilon_pilon	1545580	1657081	2968.5	1587
EOG090700G3	Duplicated	scaffold112_pilon_pilon	2133271	2184950	2904.5	1347
EOG090700G3	Duplicated	scaffold6027_pilon_pilon	45595	106058	2582.2	1389
EOG090700G9	Complete	scaffold14_pilon_pilon	22280171	22305826	2223.0	1720
EOG090700GC	Complete	scaffold162_pilon_pilon	1582484	1690427	3151.6	1521
EOG090700GD	Complete	scaffold2559_pilon_pilon	130598	143985	1324.1	914
EOG090700GL	Complete	scaffold37_pilon_pilon	6930838	6999306	2019.3	1199
EOG090700GT	Complete	scaffold26_pilon_pilon	10040049	10085646	1756.1	927
EOG090700GX	Complete	scaffold58_pilon_pilon	4593485	4633779	1473.4	909
EOG090700GY	Complete	scaffold21_pilon_pilon	7584001	7623634	2022.4	1480
EOG090700H2	Complete	scaffold18_pilon_pilon	8856404	8968100	2020.1	2301
EOG090700HA	Complete	scaffold92_pilon_pilon	3950447	4024701	2736.2	1319
EOG090700HB	Complete	scaffold110_pilon_pilon	3283054	3394407	2799.9	1391
EOG090700HD	Fragmented	scaffold5213_pilon_pilon	103243	125388	1529.5	1224
EOG090700HJ	Complete	scaffold58_pilon_pilon	6527160	6552337	2947.3	1427
EOG090700HM	Complete	scaffold40_pilon_pilon	10162906	10268385	1888.5	1197
EOG090700HT	Complete	scaffold148_pilon_pilon	3528108	3574623	2588.3	1186
EOG090700HU	Complete	scaffold128_pilon_pilon	5733025	5794502	2005.2	1310
EOG090700HW	Complete	scaffold147_pilon_pilon	5036930	5137554	1645.2	1068
EOG090700HY	Missing
EOG090700I2	Complete	scaffold25_pilon_pilon	16643932	16925306	3057.9	1635
EOG090700I3	Duplicated	scaffold39_pilon_pilon	3353448	3423166	2325.0	1149
EOG090700I3	Duplicated	scaffold717_pilon_pilon	353802	497083	2088.9	1140
EOG090700ID	Complete	scaffold96_pilon_pilon	7329274	7360727	1837.0	1040
EOG090700IE	Complete	scaffold443_pilon_pilon	420283	452818	1398.7	1191
EOG090700IG	Fragmented	scaffold198_pilon_pilon	2524965	2561695	1345.6	930
EOG090700II	Complete	scaffold98_pilon_pilon	6235639	6282223	2276.3	1247
EOG090700IN	Complete	scaffold17_pilon_pilon	18020932	18082081	2599.1	1380
EOG090700IU	Complete	scaffold12008_pilon_pilon	49340	87290	1652.8	873
EOG090700IY	Duplicated	scaffold33967_pilon_pilon	1	23785	1978.5	1121
EOG090700IY	Duplicated	scaffold5_pilon_pilon	17867644	17945478	2309.6	1123
EOG090700J6	Duplicated	scaffold4149_pilon_pilon	174550	184162	2337.1	1170
EOG090700J6	Duplicated	scaffold6_pilon_pilon	1445848	1474260	2687.9	1286
EOG090700J9	Duplicated	scaffold11_pilon_pilon	9664626	9727106	2118.9	1101
EOG090700J9	Duplicated	scaffold3452_pilon_pilon	131562	223986	2114.1	1094
EOG090700JN	Complete	scaffold96_pilon_pilon	1811504	1923813	2703.8	1345
EOG090700JT	Complete	scaffold1807_pilon_pilon	235499	241514	1626.2	1070
EOG090700JU	Fragmented	scaffold232_pilon_pilon	1938251	1946514	591.1	286
EOG090700K8	Complete	scaffold35_pilon_pilon	8476180	8509625	2401.3	1103
EOG090700KE	Missing
EOG090700KG	Complete	scaffold5_pilon_pilon	16661277	16722633	2480.4	1127
EOG090700KS	Complete	scaffold74_pilon_pilon	6935674	6980754	1182.3	622
EOG090700L3	Fragmented	scaffold108_pilon_pilon	906504	965583	1018.9	651
EOG090700L8	Complete	scaffold8_pilon_pilon	21038332	21142223	2302.5	1167
EOG090700L9	Complete	scaffold73_pilon_pilon	7421730	7515505	1949.6	1163
EOG090700LA	Complete	scaffold109_pilon_pilon	3700288	3772800	2494.3	1262
EOG090700LF	Complete	scaffold33_pilon_pilon	15308094	15346817	2061.3	1036
EOG090700LG	Fragmented	scaffold132_pilon_pilon	3968174	3998651	2367.1	1038
EOG090700LO	Complete	scaffold7_pilon_pilon	8994044	9061088	2475.3	1231
EOG090700LT	Complete	scaffold75_pilon_pilon	7382753	7441850	2245.8	1325
EOG090700LU	Fragmented	scaffold13_pilon_pilon	4001932	4006157	1004.5	499
EOG090700MB	Complete	scaffold460_pilon_pilon	166556	263835	2702.0	1440
EOG090700MD	Complete	scaffold53_pilon_pilon	9688164	9804270	2432.0	1313
EOG090700ME	Complete	scaffold9_pilon_pilon	3172086	3248934	2318.0	1188
EOG090700MG	Complete	scaffold230_pilon_pilon	1628877	1661974	1822.5	1029
EOG090700MK	Complete	scaffold94_pilon_pilon	2510136	2578395	2077.1	1220
EOG090700MO	Complete	scaffold5_pilon_pilon	17735303	17778945	2088.3	998
EOG090700MS	Complete	scaffold250_pilon_pilon	1516405	1570555	2050.6	979
EOG090700MT	Duplicated	scaffold13_pilon_pilon	12400354	12467237	2193.1	1170
EOG090700MT	Duplicated	scaffold2385_pilon_pilon	25594	143865	1950.9	1190
EOG090700MU	Duplicated	scaffold18_pilon_pilon	16149257	16197608	2236.1	1158
EOG090700MU	Duplicated	scaffold756_pilon_pilon	470889	515323	2034.4	1265
EOG090700MX	Complete	scaffold79_pilon_pilon	5787966	5847217	2517.6	1187
EOG090700N0	Complete	scaffold31_pilon_pilon	10724812	10826237	2251.6	1088
EOG090700N4	Complete	scaffold46_pilon_pilon	4071319	4155874	2236.8	1132
EOG090700N9	Complete	scaffold22_pilon_pilon	15949922	16001362	2357.5	1197
EOG090700NC	Complete	scaffold36_pilon_pilon	1208418	1231520	1870.6	1315
EOG090700NE	Complete	scaffold201_pilon_pilon	2542302	2564199	705.8	645
EOG090700NF	Complete	scaffold19_pilon_pilon	9976692	10017991	2341.5	1173
EOG090700NG	Missing
EOG090700NH	Complete	scaffold139_pilon_pilon	5191829	5252587	2510.3	1226
EOG090700NJ	Complete	scaffold17_pilon_pilon	9947058	10012578	1832.7	980
EOG090700NM	Complete	scaffold73_pilon_pilon	725122	742548	1982.1	1062
EOG090700NQ	Complete	scaffold12977_pilon_pilon	29924	48646	1272.3	1359
EOG090700NS	Complete	scaffold10_pilon_pilon	26710974	26752392	2256.3	1157
EOG090700NV	Duplicated	scaffold333_pilon_pilon	190697	414549	2242.0	1299
EOG090700NV	Duplicated	scaffold9_pilon_pilon	3951655	4082725	2424.9	1308
EOG090700NX	Duplicated	scaffold2_pilon_pilon	13351054	13452634	2005.5	978
EOG090700NX	Duplicated	scaffold3080_pilon_pilon	140197	249743	1764.9	970
EOG090700NY	Complete	scaffold46_pilon_pilon	1363671	1429180	2317.5	1059
EOG090700O4	Complete	scaffold2_pilon_pilon	21847593	21912405	2069.8	1118
EOG090700O8	Complete	scaffold132_pilon_pilon	2421123	2465707	2391.1	1163
EOG090700OB	Complete	scaffold204_pilon_pilon	1637379	1748111	1742.8	983
EOG090700OC	Complete	scaffold18_pilon_pilon	2769731	2845380	2304.5	1181
EOG090700OG	Complete	scaffold459_pilon_pilon	484201	501809	1991.7	942
EOG090700OH	Duplicated	scaffold4176_pilon_pilon	42352	230848	1789.4	1016
EOG090700OH	Duplicated	scaffold85_pilon_pilon	4540150	4629246	1975.4	1090
EOG090700OJ	Complete	scaffold53_pilon_pilon	6270018	6300432	1884.0	1010
EOG090700OK	Complete	scaffold1_pilon_pilon	36286623	36354529	2439.7	1222
EOG090700OR	Complete	scaffold12587_pilon_pilon	13488	47801	685.6	960
EOG090700OV	Duplicated	scaffold2595_pilon_pilon	34656	104767	2109.5	1061
EOG090700OV	Duplicated	scaffold94_pilon_pilon	289657	359398	2209.4	1027
EOG090700OW	Complete	scaffold88_pilon_pilon	476756	523277	2337.5	1132
EOG090700OX	Complete	scaffold131_pilon_pilon	5573808	5631271	2191.9	1084
EOG090700OY	Complete	scaffold31_pilon_pilon	4103658	4124683	1366.6	621
EOG090700P1	Complete	scaffold5_pilon_pilon	19145365	19171364	2403.1	1158
EOG090700P2	Fragmented	scaffold87_pilon_pilon	4031337	4117277	1179.5	706
EOG090700P4	Complete	scaffold254_pilon_pilon	1087174	1117457	2283.3	1326
EOG090700P8	Complete	scaffold7_pilon_pilon	2166700	2214914	2076.3	1085
EOG090700P9	Complete	scaffold102_pilon_pilon	179459	298091	1680.4	966
EOG090700PG	Complete	scaffold161_pilon_pilon	4761458	4810224	1325.3	901
EOG090700PI	Complete	scaffold56_pilon_pilon	8618559	8711968	1485.8	980
EOG090700PK	Complete	scaffold222_pilon_pilon	1832889	1898348	1593.5	1118
EOG090700PL	Complete	scaffold215_pilon_pilon	2279226	2311822	1670.5	1009
EOG090700PM	Complete	scaffold349_pilon_pilon	28450	70508	1172.7	874
EOG090700PW	Complete	scaffold4_pilon_pilon	28719008	28764321	2325.2	1170
EOG090700PY	Complete	scaffold8_pilon_pilon	19241477	19280971	2322.5	1097
EOG090700Q0	Missing
EOG090700Q5	Complete	scaffold58_pilon_pilon	9793881	9869576	1367.2	820
EOG090700QB	Fragmented	scaffold215_pilon_pilon	1400525	1403660	924.5	551
EOG090700QG	Fragmented	scaffold3361_pilon_pilon	238641	248828	1239.0	653
EOG090700QH	Complete	scaffold22_pilon_pilon	4440884	4553305	2072.7	1002
EOG090700QI	Complete	scaffold3776_pilon_pilon	147109	264585	1446.2	1145
EOG090700QK	Complete	scaffold95_pilon_pilon	1992240	2048028	1993.4	1043
EOG090700QY	Complete	scaffold142_pilon_pilon	1755019	1841340	1870.1	1065
EOG090700QZ	Duplicated	scaffold422_pilon_pilon	772545	852021	1967.4	987
EOG090700QZ	Duplicated	scaffold43_pilon_pilon	1803544	1885497	1734.6	960
EOG090700R1	Duplicated	scaffold197_pilon_pilon	365427	449084	2168.3	1100
EOG090700R1	Duplicated	scaffold816_pilon_pilon	515577	634527	2017.5	1098
EOG090700R3	Fragmented	scaffold12_pilon_pilon	2342939	2376343	1137.3	826
EOG090700R6	Duplicated	scaffold13_pilon_pilon	18798661	18865063	1880.2	908
EOG090700R6	Duplicated	scaffold9742_pilon_pilon	53794	105964	1616.9	850
EOG090700RC	Duplicated	scaffold2291_pilon_pilon	103821	148306	1129.2	970
EOG090700RC	Duplicated	scaffold23_pilon_pilon	16553979	16576606	1243.0	967
EOG090700RF	Duplicated	scaffold175_pilon_pilon	1424054	1472924	2100.8	1031
EOG090700RF	Duplicated	scaffold1788_pilon_pilon	274895	370472	1879.8	946
EOG090700RH	Duplicated	scaffold3933_pilon_pilon	82272	161053	2331.0	1144
EOG090700RH	Duplicated	scaffold56_pilon_pilon	10093094	10147099	2494.0	1208
EOG090700RS	Missing
EOG090700S0	Complete	scaffold5_pilon_pilon	15035350	15091308	2019.6	1026
EOG090700S2	Complete	scaffold19_pilon_pilon	11377844	11415148	2023.2	970
EOG090700S7	Complete	scaffold9_pilon_pilon	285131	322894	1374.1	965
EOG090700SH	Complete	scaffold247_pilon_pilon	1814546	1866176	2191.0	997
EOG090700SI	Complete	scaffold115_pilon_pilon	2543857	2591297	2126.4	1005
EOG090700SK	Complete	scaffold2140_pilon_pilon	246839	284805	603.1	1221
EOG090700SP	Complete	scaffold27_pilon_pilon	7973730	8078817	2132.6	1054
EOG090700SU	Complete	scaffold136_pilon_pilon	324478	374153	2067.4	1141
EOG090700SW	Complete	scaffold133_pilon_pilon	2940623	3008271	1751.9	1049
EOG090700T0	Complete	scaffold70_pilon_pilon	6204962	6244326	741.5	950
EOG090700T7	Complete	scaffold24_pilon_pilon	5407909	5472249	1801.9	972
EOG090700T8	Complete	scaffold20_pilon_pilon	3111803	3166608	2246.4	1067
EOG090700TA	Complete	scaffold39_pilon_pilon	13310938	13376512	1800.0	1002
EOG090700TE	Complete	scaffold35_pilon_pilon	14100501	14193553	967.9	819
EOG090700TG	Complete	scaffold2_pilon_pilon	18136973	18192362	1834.9	1075
EOG090700TM	Complete	scaffold114_pilon_pilon	6167875	6217207	1964.9	1055
EOG090700TO	Missing
EOG090700TP	Complete	scaffold44_pilon_pilon	9781227	9824556	1989.7	1083
EOG090700TX	Duplicated	scaffold1909_pilon_pilon	120550	178677	2088.4	1072
EOG090700TX	Duplicated	scaffold284_pilon_pilon	391760	409149	2337.0	1066
EOG090700U1	Duplicated	scaffold162_pilon_pilon	3728965	3749417	1630.2	973
EOG090700U1	Duplicated	scaffold6813_pilon_pilon	16236	58674	1484.0	940
EOG090700U4	Complete	scaffold7_pilon_pilon	19192579	19251559	2250.7	1063
EOG090700U6	Complete	scaffold78_pilon_pilon	7461400	7487844	2313.3	1057
EOG090700UA	Complete	scaffold35_pilon_pilon	2011804	2141380	2095.0	1037
EOG090700UD	Duplicated	scaffold2844_pilon_pilon	94577	120596	1792.6	984
EOG090700UD	Duplicated	scaffold2_pilon_pilon	10964401	11002382	1985.4	983
EOG090700UE	Complete	scaffold3974_pilon_pilon	117022	194314	1504.7	1030
EOG090700UF	Fragmented	scaffold73_pilon_pilon	3397943	3418824	185.6	110
EOG090700UG	Complete	scaffold56_pilon_pilon	9329043	9379726	2118.9	2281
EOG090700UN	Complete	scaffold7_pilon_pilon	26993653	27057204	2184.8	1060
EOG090700UQ	Complete	scaffold124_pilon_pilon	2605014	2676595	1861.2	1184
EOG090700UR	Complete	scaffold160_pilon_pilon	2716230	2756029	1267.8	668
EOG090700US	Complete	scaffold12_pilon_pilon	9284650	9380279	1855.9	1017
EOG090700UU	Complete	scaffold27_pilon_pilon	7146318	7237187	1476.3	895
EOG090700UW	Complete	scaffold147_pilon_pilon	49743	127278	1726.5	1024
EOG090700UY	Complete	scaffold193_pilon_pilon	2913448	2938423	2044.1	962
EOG090700UZ	Complete	scaffold32_pilon_pilon	12073798	12250609	1317.1	778
EOG090700V4	Complete	scaffold277_pilon_pilon	527298	602913	941.5	529
EOG090700V5	Duplicated	scaffold58_pilon_pilon	5788946	5845475	1454.9	939
EOG090700V5	Duplicated	scaffold68_pilon_pilon	9732830	9761817	1241.1	923
EOG090700V7	Missing
EOG090700VC	Complete	scaffold887_pilon_pilon	230397	312625	1886.4	1008
EOG090700VE	Duplicated	scaffold1234_pilon_pilon	470692	494946	1766.6	896
EOG090700VE	Duplicated	scaffold93_pilon_pilon	2467175	2476903	1975.8	908
EOG090700VG	Complete	scaffold64_pilon_pilon	7746309	7803545	1289.0	919
EOG090700VH	Complete	scaffold316_pilon_pilon	304650	335998	1849.0	1144
EOG090700VJ	Duplicated	scaffold159_pilon_pilon	3573642	3711844	1726.4	961
EOG090700VJ	Duplicated	scaffold2351_pilon_pilon	58776	207759	1585.3	931
EOG090700VO	Complete	scaffold139_pilon_pilon	5452963	5503673	1359.2	1027
EOG090700VZ	Complete	scaffold139_pilon_pilon	4801589	4819549	1210.5	1056
EOG090700W0	Missing
EOG090700W2	Complete	scaffold8_pilon_pilon	24893150	24999901	1929.8	1027
EOG090700W5	Duplicated	scaffold43_pilon_pilon	6734163	6795243	1490.2	920
EOG090700W5	Duplicated	scaffold5007_pilon_pilon	137711	197427	1344.1	1034
EOG090700W8	Complete	scaffold2_pilon_pilon	17307277	17353610	2005.7	1039
EOG090700W9	Complete	scaffold2105_pilon_pilon	270398	324144	1966.6	980
EOG090700WA	Complete	scaffold18_pilon_pilon	1247776	1303732	1681.3	1174
EOG090700WI	Complete	scaffold1_pilon_pilon	26198078	26249566	1951.8	941
EOG090700WJ	Duplicated	scaffold35_pilon_pilon	422389	446448	2210.9	1052
EOG090700WJ	Duplicated	scaffold5386_pilon_pilon	82136	144262	1920.5	1040
EOG090700WL	Complete	scaffold3073_pilon_pilon	88328	239779	1258.8	985
EOG090700WV	Complete	scaffold102_pilon_pilon	1666903	1684652	2134.7	965
EOG090700X0	Fragmented	scaffold37739_pilon_pilon	6481	17501	730.7	345
EOG090700X3	Complete	scaffold46_pilon_pilon	9081625	9169338	1997.9	1225
EOG090700X5	Complete	scaffold16_pilon_pilon	10392746	10465078	1653.2	1014
EOG090700XB	Complete	scaffold70_pilon_pilon	9408121	9492963	1948.2	932
EOG090700XD	Complete	scaffold68_pilon_pilon	1641983	1813354	1792.1	830
EOG090700XG	Duplicated	scaffold363_pilon_pilon	994154	1044374	1818.5	960
EOG090700XG	Duplicated	scaffold88_pilon_pilon	1561954	1644814	1983.6	968
EOG090700XH	Complete	scaffold102_pilon_pilon	303753	347871	2123.6	1018
EOG090700XI	Complete	scaffold78_pilon_pilon	2316131	2389114	1407.1	941
